"AccountManagerFuture android.accounts.AccountManager.addAccount(String, String, String, Bundle, Activity, AccountManagerCallback, Handler)",MANAGE_ACCOUNTS
"boolean android.accounts.AccountManager.addAccountExplicitly(Account, String, Bundle)",AUTHENTICATE_ACCOUNTS
"void android.accounts.AccountManager.addOnAccountsUpdatedListener(OnAccountsUpdateListener, Handler, boolean)",GET_ACCOUNTS
"String android.accounts.AccountManager.blockingGetAuthToken(Account, String, boolean)",USE_CREDENTIALS
void android.accounts.AccountManager.clearPassword(Account),MANAGE_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.confirmCredentials(Account, Bundle, Activity, AccountManagerCallback, Handler)",MANAGE_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.editProperties(String, Activity, AccountManagerCallback, Handler)",MANAGE_ACCOUNTS
Account[] android.accounts.AccountManager.getAccounts(),GET_ACCOUNTS
Account[] android.accounts.AccountManager.getAccountsByType(String),GET_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.getAccountsByTypeAndFeatures(String, String, AccountManagerCallback, Handler)",GET_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.getAuthToken(Account, String, Bundle, boolean, AccountManagerCallback, Handler)",USE_CREDENTIALS
"AccountManagerFuture android.accounts.AccountManager.getAuthToken(Account, String, Bundle, Activity, AccountManagerCallback, Handler)",USE_CREDENTIALS
"AccountManagerFuture android.accounts.AccountManager.getAuthToken(Account, String, boolean, AccountManagerCallback, Handler)",USE_CREDENTIALS
"AccountManagerFuture android.accounts.AccountManager.getAuthTokenByFeatures(String, String, String, Activity, Bundle, Bundle, AccountManagerCallback, Handler)",MANAGE_ACCOUNTS
String android.accounts.AccountManager.getPassword(Account),AUTHENTICATE_ACCOUNTS
"String android.accounts.AccountManager.getUserData(Account, String)",AUTHENTICATE_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.hasFeatures(Account, String, AccountManagerCallback, Handler)",GET_ACCOUNTS
"void android.accounts.AccountManager.invalidateAuthToken(String, String)",USE_CREDENTIALS,MANAGE_ACCOUNTS
boolean android.accounts.AccountManager.notifyAccountAuthenticated(Account),AUTHENTICATE_ACCOUNTS
"String android.accounts.AccountManager.peekAuthToken(Account, String)",AUTHENTICATE_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.removeAccount(Account, Activity, AccountManagerCallback, Handler)",MANAGE_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.removeAccount(Account, AccountManagerCallback, Handler)",MANAGE_ACCOUNTS
boolean android.accounts.AccountManager.removeAccountExplicitly(Account),AUTHENTICATE_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.renameAccount(Account, String, AccountManagerCallback, Handler)",AUTHENTICATE_ACCOUNTS
"void android.accounts.AccountManager.setAuthToken(Account, String, String)",AUTHENTICATE_ACCOUNTS
"void android.accounts.AccountManager.setPassword(Account, String)",AUTHENTICATE_ACCOUNTS
"void android.accounts.AccountManager.setUserData(Account, String, String)",AUTHENTICATE_ACCOUNTS
"AccountManagerFuture android.accounts.AccountManager.updateCredentials(Account, String, Bundle, Activity, AccountManagerCallback, Handler)",MANAGE_ACCOUNTS
FingerprintGestureController android.accessibilityservice.AccessibilityService.getFingerprintGestureController(),USE_FINGERPRINT
